chunk_size,selector,recall@1,recall@5,answer_em,answer_f1,cite_acc
60,greedy,1.0,1.0,0.0,0.0,1.0
60,mmr,1.0,1.0,0.0,0.0,0.6666666666666666
60,anti_kt,1.0,1.0,0.0,0.0,0.3333333333333333
90,greedy,1.0,1.0,0.0,0.0,1.0
90,mmr,1.0,1.0,0.0,0.0,1.0
90,anti_kt,1.0,1.0,0.0,0.0,0.0
120,greedy,1.0,1.0,0.0,0.0,1.0
120,mmr,1.0,1.0,0.0,0.0,1.0
120,anti_kt,1.0,1.0,0.0,0.0,0.0
150,greedy,1.0,1.0,0.0,0.0,1.0
150,mmr,1.0,1.0,0.0,0.0,1.0
150,anti_kt,1.0,1.0,0.0,0.0,0.0
180,greedy,1.0,1.0,0.0,0.0,1.0
180,mmr,1.0,1.0,0.0,0.0,1.0
180,anti_kt,1.0,1.0,0.0,0.0,0.0
240,greedy,1.0,1.0,0.0,0.0,1.0
240,mmr,1.0,1.0,0.0,0.0,1.0
240,anti_kt,1.0,1.0,0.0,0.0,0.0
