n_distractors,selector,recall@1,recall@5,answer_em,answer_f1,cite_acc
0,greedy,1.0,1.0,0.0,0.0,1.0
0,mmr,1.0,1.0,0.0,0.0,1.0
0,anti_kt,1.0,1.0,0.0,0.0,0.0
5,greedy,1.0,1.0,0.0,0.0,1.0
5,mmr,1.0,1.0,0.0,0.0,0.3333333333333333
5,anti_kt,1.0,1.0,0.0,0.0,0.3333333333333333
10,greedy,1.0,1.0,0.0,0.0,1.0
10,mmr,1.0,1.0,0.0,0.0,0.6666666666666666
10,anti_kt,1.0,1.0,0.0,0.0,0.3333333333333333
25,greedy,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666
25,mmr,0.6666666666666666,1.0,0.0,0.0,1.0
25,anti_kt,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333
50,greedy,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333
50,mmr,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666
50,anti_kt,0.3333333333333333,1.0,0.0,0.0,0.3333333333333333
